career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
0,0,0,0,0,0,0.0,0,Vineet Sharma,0.0,268,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': False}]",0,0,0.0,0,0.0,0.0,0,0,0,0.0,26,"Pro Kabaddi League Season 6, 2018",0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0,Sunil Manik Dubile,0.0,2680,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",0,0,0.0,0,0.0,0.0,0,0,0,0.0,49,"Pro Kabaddi League Season 7, 2019",0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0,Sourabh Tanaji Patil,0.0,2681,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",0,0,0.0,0,0.0,0.0,0,0,0,0.0,49,"Pro Kabaddi League Season 7, 2019",0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
5,2,1,7,0,0,,5,Amit Kumar,56.0,2682,0,"[{'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",13,13,2.6,4,,2.2,7,25,0,,49,"Pro Kabaddi League Season 7, 2019",44.0,7,1,0.2,0,0,1,,100.0,2,,2,11,2,1,11,0
1,0,0,3,0,0,,3,Palle Mallikarjun,50.0,2683,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",2,2,0.66,0,,0.66,2,10,0,,49,"Pro Kabaddi League Season 7, 2019",20.0,2,0,0.0,0,0,0,,0.0,1,,0,2,0,1,5,0
0,0,0,0,0,0,,1,Krushna Madane,0.0,274,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",0,0,0.0,0,,0.0,0,2,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,0,0.0,0,0,0,,0.0,0,,0,0,0,0,2,0
4,11,0,2,1,0,,6,Krushna Madane,100.0,274,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",12,12,2.0,0,,0.16,1,3,0,,26,"Pro Kabaddi League Season 6, 2018",33.33,1,11,1.83,0,0,0,,44.0,25,,11,1,11,14,0,0
2,4,0,8,0,0,,7,Krushna Madane,100.0,274,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",4,4,0.57,0,,0.0,0,8,0,,49,"Pro Kabaddi League Season 7, 2019",0.0,0,4,0.57,0,0,0,,28.57,14,,4,0,4,10,0,0
6,32,6,0,0,2,,10,Sandeep Kumar Dhull,0.0,290,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",32,32,3.2,0,,0.0,0,1,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,26,2.6,0,0,6,,52.45,61,,32,0,32,35,1,0
8,35,0,0,0,2,,12,Sandeep Kumar Dhull,0.0,290,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",35,35,2.91,0,,0.0,0,0,0,,4,"Pro Kabaddi League Season 4, 2016",0.0,0,35,2.91,0,0,0,,52.23,67,,35,0,35,32,0,0
